age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
47.0, Private,214702.0, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,37.0, Puerto-Rico,0
47.0, Local-gov,162595.0, Some-college,10.0, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0.0,0.0,45.0, United-States,0
23.0, Private,353696.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,40.0, United-States,0
27.0, Self-emp-inc,114158.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Female,0.0,0.0,40.0, United-States,0
65.0, Private,115880.0, Doctorate,16.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,1
24.0, Private,127139.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States,0
25.0, Private,66935.0, Bachelors,13.0, Never-married, Other-service, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
69.0, ?,182668.0, HS-grad,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,45.0, United-States,1
28.0, Private,67218.0, 7th-8th,4.0, Married-civ-spouse, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
51.0, Self-emp-not-inc,388496.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,8.0, Puerto-Rico,1
27.0, Private,259840.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,45.0, United-States,0
31.0, Private,63437.0, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,40.0, Ireland,0
23.0, Private,116830.0, 12th,8.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
36.0, Private,110998.0, Masters,14.0, Widowed, Tech-support, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,40.0, India,0
52.0, Private,188644.0, 5th-6th,3.0, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, Mexico,0
34.0, Private,164748.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
66.0, Private,107196.0, HS-grad,9.0, Widowed, Tech-support, Not-in-family, White, Female,0.0,0.0,18.0, United-States,0
56.0, Self-emp-not-inc,170217.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,45.0, United-States,0
46.0, Private,191389.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,28.0, United-States,1
37.0, Private,454915.0, 10th,6.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
18.0, ?,152641.0, 10th,6.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States,0
54.0, Self-emp-not-inc,57101.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,35.0, United-States,0
32.0, Local-gov,209900.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,65.0, United-States,1
48.0, Self-emp-not-inc,167918.0, Masters,14.0, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0.0,0.0,50.0, India,0
68.0, Private,32779.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,419.0,12.0, United-States,0
33.0, Private,72338.0, Prof-school,15.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0.0,0.0,65.0, Japan,1
24.0, Private,117363.0, Bachelors,13.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States,0
37.0, State-gov,74163.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
29.0, Private,182521.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States,0
26.0, Private,38232.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
34.0, Private,183778.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
26.0, Local-gov,46097.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,0
54.0, ?,169785.0, Masters,14.0, Never-married, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
49.0, Self-emp-not-inc,162856.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States,0
27.0, Private,238859.0, Assoc-voc,11.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
28.0, Private,309566.0, HS-grad,9.0, Never-married, Adm-clerical, Unmarried, White, Female,0.0,0.0,20.0, United-States,0
60.0, Private,185749.0, 11th,7.0, Widowed, Transport-moving, Unmarried, Black, Male,0.0,0.0,40.0, United-States,0
58.0, Self-emp-not-inc,33309.0, HS-grad,9.0, Widowed, Farming-fishing, Not-in-family, White, Male,0.0,0.0,80.0, United-States,0
39.0, Private,104089.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States,1
52.0, Private,138497.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States,1
24.0, Private,141113.0, 7th-8th,4.0, Married-civ-spouse, Sales, Husband, White, Male,2580.0,0.0,40.0, United-States,0
34.0, Self-emp-not-inc,254304.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,4508.0,0.0,90.0, United-States,0
61.0, Private,147393.0, Prof-school,15.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,20.0, United-States,0
39.0, Private,278187.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,0
23.0, Private,268525.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
47.0, State-gov,207120.0, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,38.0, United-States,1
39.0, Self-emp-not-inc,163204.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,0
34.0, Private,203051.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,27.0, United-States,0
53.0, Self-emp-not-inc,279129.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,30.0, United-States,0
37.0, Private,186035.0, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,55.0, United-States,0
50.0, Private,173754.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
34.0, Private,318641.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,45.0, United-States,1
37.0, Private,291251.0, HS-grad,9.0, Divorced, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
30.0, Private,184687.0, HS-grad,9.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,30.0, United-States,0
32.0, Private,40142.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,1
58.0, Private,160662.0, 10th,6.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,1
68.0, Private,117236.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,20051.0,0.0,45.0, United-States,1
37.0, Federal-gov,173192.0, Assoc-voc,11.0, Separated, Adm-clerical, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0
52.0, Private,208137.0, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0
28.0, Self-emp-not-inc,211032.0, 11th,7.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Mexico,0
19.0, Private,466458.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,20.0, United-States,0
37.0, Self-emp-not-inc,154410.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
40.0, Private,55191.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,40.0, United-States,0
26.0, Private,132749.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,45.0, United-States,0
44.0, Private,100584.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States,0
17.0, Private,25051.0, 10th,6.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,16.0, United-States,0
37.0, Private,138192.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States,0
25.0, Private,144259.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,50.0, United-States,0
33.0, Private,267859.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, El-Salvador,0
44.0, Private,240043.0, 10th,6.0, Married-spouse-absent, Adm-clerical, Unmarried, Black, Female,0.0,0.0,30.0, United-States,0
35.0, ?,124836.0, Some-college,10.0, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,36.0, United-States,0
67.0, ?,37170.0, 7th-8th,4.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,3.0, United-States,0
20.0, Self-emp-not-inc,132320.0, HS-grad,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,45.0, United-States,0
74.0, ?,340939.0, 9th,5.0, Married-civ-spouse, ?, Husband, White, Male,3471.0,0.0,40.0, United-States,0
21.0, ?,123727.0, Some-college,10.0, Never-married, ?, Not-in-family, White, Female,0.0,0.0,28.0, United-States,0
68.0, Private,204082.0, Some-college,10.0, Widowed, Exec-managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0
30.0, Private,196385.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024.0,0.0,35.0, United-States,1
34.0, Local-gov,104509.0, Masters,14.0, Separated, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
27.0, Private,130067.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,65.0, United-States,0
36.0, Private,140583.0, HS-grad,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
24.0, Private,278130.0, Assoc-voc,11.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
20.0, Private,215495.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, Mexico,0
37.0, Private,255621.0, HS-grad,9.0, Separated, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
45.0, Self-emp-inc,177543.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,50.0, United-States,0
47.0, Private,102308.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,1
30.0, Private,327202.0, 12th,8.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0
21.0, Private,190227.0, HS-grad,9.0, Never-married, Adm-clerical, Unmarried, White, Male,0.0,0.0,40.0, United-States,0
29.0, Private,164711.0, Some-college,10.0, Never-married, Handlers-cleaners, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
35.0, Private,48404.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,0
36.0, Private,108997.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
40.0, Private,382499.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,50.0, United-States,0
20.0, Private,157541.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,27.0, United-States,0
32.0, Private,375833.0, 11th,7.0, Never-married, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
25.0, State-gov,183678.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0
33.0, Self-emp-not-inc,112952.0, Some-college,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,48.0, United-States,0
48.0, Private,109275.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,0
28.0, Private,102533.0, Some-college,10.0, Separated, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0
20.0, Private,451996.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States,0
28.0, Private,114053.0, Bachelors,13.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,55.0, United-States,0
59.0, Private,167963.0, HS-grad,9.0, Never-married, Adm-clerical, Unmarried, White, Male,0.0,0.0,40.0, United-States,0
23.0, Private,214542.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,20.0, United-States,0
37.0, Private,184498.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,0
30.0, Private,312667.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,0
50.0, Self-emp-inc,121441.0, 11th,7.0, Never-married, Exec-managerial, Other-relative, White, Male,0.0,2444.0,40.0, United-States,1
38.0, Private,234901.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,0
46.0, Private,117849.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,55.0, United-States,1
58.0, Self-emp-not-inc,204021.0, HS-grad,9.0, Widowed, Exec-managerial, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
45.0, Private,123681.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,1
21.0, Private,194723.0, Some-college,10.0, Never-married, Adm-clerical, Other-relative, White, Female,0.0,0.0,40.0, Mexico,0
29.0, Private,196243.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
29.0, Private,107108.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States,0
44.0, Private,239723.0, Some-college,10.0, Married-spouse-absent, Craft-repair, Unmarried, White, Female,1506.0,0.0,45.0, United-States,0
28.0, Private,221317.0, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, Mexico,0
23.0, Private,196827.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,1902.0,40.0, United-States,0
52.0, State-gov,447579.0, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, England,0
44.0, Self-emp-not-inc,231348.0, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States,1
30.0, Private,206051.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,0
38.0, Private,312771.0, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,1
28.0, Private,206088.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
34.0, Private,106742.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States,0
38.0, Private,179488.0, Assoc-acdm,12.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
33.0, Private,309630.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States,0
30.0, Private,207668.0, Bachelors,13.0, Never-married, Tech-support, Not-in-family, White, Male,0.0,0.0,60.0, Hungary,0
38.0, Local-gov,84570.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States,0
60.0, Self-emp-inc,376133.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,15024.0,0.0,15.0, United-States,1
41.0, Self-emp-not-inc,129865.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,60.0, United-States,0
36.0, Private,137527.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0
55.0, Private,240988.0, 9th,5.0, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Male,0.0,0.0,40.0, Philippines,0
52.0, Local-gov,192563.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,38.0, United-States,0
37.0, Private,221850.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, Ecuador,1
40.0, Private,141583.0, 10th,6.0, Never-married, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, United-States,0
27.0, State-gov,122660.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, Black, Female,0.0,0.0,40.0, United-States,0
39.0, Self-emp-inc,163057.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,99.0, United-States,0
40.0, State-gov,229364.0, Masters,14.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0
50.0, State-gov,297551.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,52.0, United-States,0
32.0, Private,114746.0, HS-grad,9.0, Separated, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,60.0, South,0
40.0, State-gov,456110.0, 11th,7.0, Divorced, Transport-moving, Unmarried, White, Female,0.0,0.0,52.0, United-States,0
36.0, Private,32334.0, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,50.0, United-States,1
60.0, Private,225526.0, HS-grad,9.0, Separated, Sales, Not-in-family, White, Female,0.0,0.0,32.0, United-States,0
60.0, Private,131681.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,1
46.0, Private,169324.0, HS-grad,9.0, Separated, Other-service, Not-in-family, Black, Female,0.0,0.0,45.0, Jamaica,0
56.0, Self-emp-not-inc,258752.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,0
49.0, Private,98092.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,1
49.0, Private,199763.0, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,35.0, United-States,0
37.0, Private,189382.0, Assoc-voc,11.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,38.0, United-States,0
43.0, Private,200734.0, HS-grad,9.0, Separated, Other-service, Not-in-family, Black, Female,0.0,0.0,40.0, United-States,0
31.0, Self-emp-not-inc,119411.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,50.0, United-States,0
60.0, Private,156616.0, HS-grad,9.0, Widowed, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, United-States,0
55.0, Private,67450.0, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,40.0, England,0
50.0, Private,162327.0, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,50.0, United-States,0
64.0, Private,151364.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
52.0, Self-emp-inc,68015.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,90.0, United-States,1
41.0, State-gov,33126.0, Bachelors,13.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States,1
33.0, State-gov,79440.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,30.0, Japan,0
54.0, Self-emp-inc,206862.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,36.0, United-States,1
48.0, Private,159854.0, 1st-4th,2.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States,0
22.0, Private,219042.0, 10th,6.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States,0
22.0, Private,187052.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States,0
25.0, Private,234263.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
40.0, Self-emp-not-inc,209040.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,0
57.0, Private,74156.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,30.0, United-States,0
41.0, Private,89226.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
23.0, Private,334357.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Black, Female,0.0,0.0,40.0, United-States,0
53.0, Private,196328.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,40.0, United-States,0
19.0, Private,150553.0, Some-college,10.0, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0.0,0.0,18.0, Philippines,0
62.0, Private,143312.0, Some-college,10.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,60.0, United-States,0
25.0, Private,99126.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688.0,0.0,40.0, United-States,1
54.0, Private,53407.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
39.0, Private,207185.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,35.0, Puerto-Rico,1
55.0, Self-emp-not-inc,105582.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,2228.0,0.0,50.0, United-States,0
53.0, Private,158746.0, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,0
31.0, Private,373432.0, 9th,5.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,43.0, United-States,0
67.0, Self-emp-not-inc,345236.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,55.0, United-States,0
38.0, State-gov,149455.0, HS-grad,9.0, Never-married, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, United-States,0
64.0, Self-emp-not-inc,339321.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,24.0, United-States,1
19.0, Private,198668.0, 7th-8th,4.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
61.0, Local-gov,167670.0, Bachelors,13.0, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
53.0, Self-emp-not-inc,108815.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States,0
51.0, Self-emp-not-inc,149770.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,44.0, United-States,0
45.0, Private,178319.0, Bachelors,13.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,1
41.0, Private,163287.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688.0,0.0,43.0, United-States,1
64.0, Private,66634.0, Bachelors,13.0, Divorced, Exec-managerial, Unmarried, White, Male,27828.0,0.0,50.0, United-States,1
19.0, Private,100999.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,30.0, United-States,0
31.0, Private,156464.0, Bachelors,13.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,25.0, United-States,0
44.0, Federal-gov,139161.0, Assoc-acdm,12.0, Divorced, Adm-clerical, Not-in-family, Black, Female,0.0,1741.0,40.0, United-States,0
38.0, Private,236391.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688.0,0.0,40.0, United-States,1
69.0, ?,473040.0, 5th-6th,3.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
24.0, Private,154165.0, 9th,5.0, Divorced, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States,0
31.0, Private,297188.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,60.0, United-States,0
34.0, Private,269243.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States,0
25.0, Private,66622.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,25.0, United-States,0
35.0, Private,379959.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
35.0, Self-emp-not-inc,188563.0, HS-grad,9.0, Divorced, Farming-fishing, Own-child, White, Male,0.0,0.0,50.0, United-States,0
